glosso,lat,lng,colour
Albanian,41.3746242957521,19.8363991942167,blue
Lombard,45.4643408098844,9.18910998719369,blue
Mancunian English,53.4857099291728,-2.24234683895357,blue
Polish,52.3542599136831,20.9786864360501,blue
German,51.1313716928508,10.869930838569,blue
Old Irish,53.3687697432817,-7.6640674124826,blue
Mawayana,2.36074750443743,-56.6495935149114,blue
Santa Isabel,-9.32040905656915,160.011024240055,blue
Icelandic,65.0332678523427,-18.2625244109019,blue
Italian,43.067982186246,12.3909410830752,blue
Proto-Indo-European,48.9225822135745,44.3972197660087,blue
Proto-Oceanic,-2.27384384345159,147.985704688539,blue
Sanskrit,22.9550329236234,79.6585370929968,red
Middle Egyptian,26.6891591999807,30.061133063625,red
Classical Hebrew,31.701049014734,34.819397408053,red
Amharic,8.94074530590522,39.3633254709024,red
Hungarian,46.9118992000112,19.7839316507982,red
Middle Welsh,52.0292214335183,-4.20927524922827,red
Romani,27.2316739834057,72.9926578426692,red
Latin,41.9549524719067,13.264735543517,red
Ancient Greek,39.402514583054,23.1421862640516,red
