Time,Vowel,Word,Duration,F1_05,F1_10,F1_15,F1_20,F1_25,F1_30,F1_35,F1_40,F1_45,F1_50,F1_55,F1_60,F1_65,F1_70,F1_75,F1_80,F1_85,F1_90,F1_95,F2_05,F2_10,F2_15,F2_20,F2_25,F2_30,F2_35,F2_40,F2_45,F2_50,F2_55,F2_60,F2_65,F2_70,F2_75,F2_80,F2_85,F2_90,F2_95,F3_05,F3_10,F3_15,F3_20,F3_25,F3_30,F3_35,F3_40,F3_45,F3_50,F3_55,F3_60,F3_65,F3_70,F3_75,F3_80,F3_85,F3_90,F3_95
193.7665366,u,tulemupepelako,43.28031946,405.8142449,439.2090183,452.6758376,456.0238106,429.9721372,357.0936075,314.280942,287.5755412,285.9287211,326.6321144,459.8234433,497.0311374,502.4772412,504.7981057,511.5300717,518.5404358,526.5602047,535.9624705,547.5052896,1205.379394,1225.747993,1245.844097,1291.291536,1418.157237,1555.011193,1603.127958,1709.099109,1711.572218,1746.683131,1855.349683,1929.072291,1977.069465,2002.018203,2021.043101,2030.341013,2034.393277,2040.005205,2031.390753,2625.544702,2556.458051,2506.916434,2450.688187,2330.572,2267.658873,2335.318814,2437.348257,2461.186079,2470.013648,2495.592619,2538.354872,2654.729315,2770.381663,2797.864801,2815.427255,2800.386769,2771.951558,2741.357497
193.8617533,e,tulemupepelako,102.7907587,502.9102585,516.8291301,537.2727266,563.9022572,555.8580558,362.4303917,315.4613883,294.7937414,301.3715073,296.9800523,291.4818148,281.3806396,368.822411,372.8509271,409.7565833,884.6065665,397.6756473,441.7742847,440.0187281,1988.031884,2029.07797,2040.393862,1851.199096,1471.69812,1297.672163,1294.488362,1350.500713,1415.917358,1427.700279,1357.114867,1025.676176,1551.217546,1651.274697,1590.174504,2163.457501,1801.854139,1765.259659,1884.091345,2709.970752,2816.875676,2768.064441,2629.283847,2437.17264,2470.02081,2528.644103,2659.340122,2650.53518,2711.486374,2710.964036,2655.177791,2939.675013,3009.293752,2886.01662,3449.829391,2758.517895,2513.393067,2548.993034
194.091139,u,tulemupepelako,14.06610383,289.8072958,288.1462574,285.9600398,283.2486429,281.3175813,281.4096451,282.2282575,295.1355288,308.0428,314.9834587,320.7454403,335.3964821,355.650193,375.7324329,395.5484223,410.4762051,401.5520275,392.62785,388.521793,1245.718494,1164.061805,1097.515517,1046.07963,1015.908641,1040.869801,1056.213865,911.5441501,766.8744349,1048.654395,1414.677548,1558.922989,1563.384568,1555.500048,1528.445219,1513.834836,1559.947013,1606.059189,1628.661136,2676.637907,2668.245416,2666.760506,2672.183176,2670.110007,2648.602851,2627.360292,2610.520246,2593.680199,2750.878062,2942.456321,2992.090051,2952.257827,2923.211498,2910.912881,2907.976586,2950.723657,2993.470727,3004.31911
194.2101598,e,tulemupepelako,75.74055906,440.4383136,440.8603054,439.2665346,429.0193828,385.5919303,269.0648435,250.1019256,318.4707679,371.6368253,479.4099411,1742.811186,349.9466995,434.956355,440.407836,468.1048953,552.3057039,623.197672,599.1656889,527.1976376,1763.604813,1849.115053,1880.061212,1800.738852,1616.683738,1837.069699,1743.410318,1842.304445,1905.791682,1920.525619,2818.442648,1716.65931,1868.953554,1962.442696,1980.134349,1929.751856,1885.389136,1777.484865,1680.672402,2485.420532,2543.895103,2535.552909,2458.318139,2470.720153,2870.249633,2821.67426,2828.217151,3110.470975,3033.462645,3990.386799,2483.562804,2541.821655,2648.282932,2765.468886,2830.449862,2804.406771,2729.842241,2541.078687
194.3995112,e,tulemupepelako,68.16650315,437.0350838,445.3814604,478.875928,562.4157178,622.0579336,605.3996033,523.116848,618.3786724,687.4681627,751.3533777,792.2101336,801.4214384,762.1734839,689.6998835,631.6458589,540.7668711,456.5383516,474.3980862,656.6487136,1930.57531,1979.156165,1977.428975,1921.110658,1886.354054,1793.720095,1683.601703,1676.180363,1666.645436,1626.842736,1577.685703,1531.640639,1467.139822,1390.681328,1318.375334,1211.088021,1148.287159,1355.316043,1465.126691,2576.579347,2699.000089,2776.209169,2835.943633,2807.841331,2693.099132,2583.944513,2570.835974,2561.265534,2524.791673,2443.266946,2376.128952,2313.41534,2276.031095,2282.456428,2345.778929,2396.088723,2922.87293,2829.457227
194.5455823,a,tulemupepelako,89.80666288,800.1935587,736.3126301,661.6818139,542.6713045,446.7822163,564.4489196,767.6800522,357.8982863,1200.774184,1562.054405,640.053834,383.6491909,300.5295922,431.2432506,451.6030583,518.4325557,209.258466,675.0648381,559.5118412,1529.407292,1438.167223,1353.810424,1216.864622,1140.451828,1498.788385,1526.960329,1427.125096,2528.574703,2350.305369,1154.215393,1740.824399,479.2806201,498.1096916,2055.807514,2561.079533,2121.836411,2711.675991,1663.910207,2373.467434,2296.607916,2296.499217,2346.820653,2508.201768,2912.266753,2969.538095,2617.654519,3723.384405,3529.717057,2828.333729,2910.090857,2730.333513,2783.606425,3467.272804,3361.965916,2933.748414,3352.104071,2805.677738
194.7609019,o,tulemupepelako,98.46272678,481.5293227,462.8694627,470.9970046,326.0935884,316.0853106,573.4970947,1511.221794,1388.918035,1368.735121,1507.959776,1478.064556,1419.767759,1589.264043,1590.914814,940.0062827,1490.20737,923.3308606,1346.545888,1385.675308,2698.937631,585.1825034,2266.654377,2346.271836,1907.505064,1648.842448,2745.256637,2510.933952,2455.788358,2572.502918,2526.626643,2574.625459,2658.689867,2711.407245,1973.317134,2380.257518,1905.686392,2416.077978,2079.927963,3852.800288,2828.445994,3435.558514,3096.706466,3104.354255,2821.417672,3846.599011,3425.519647,3430.287066,3487.740956,3525.066583,3598.16459,3881.130201,3714.683402,3161.49697,3535.766766,2938.071215,3680.93033,3254.369822
